Title,Description,Label
"BUYER BEWARE if you plan to buy this for the PHILLIPS HUE SYSTEM.","I want to start off by saying that I love Amazon as a company, so this isn't a hate review on Amazon. BUT, I do feel deceived by amazon on this.The Echo Plus does have a smart hub that uses Zigbee to connect to various smart home devices. HOWEVER, the Echo Plus can only utilize the PHILLIPS HUE system in a limited capacity. In order to get full use out of the HUE bulbs, you still have to buy the HUE BRIDGE.What you can do with the Echo Plus alone:1. Voice Control the lights.2. Change the color of the lights by voice, BUT you are limited to about 20 colors instead of the 16 million colors that the HUE bulbs are capable of.3. You can set routines and groups, which is nice.What you CANT do without the HUE Bridge:1. Compatibility with many more sensors2. The ability to automate and set scenes3. get system updates over the air and future features.4. Have your lights sync with music5. Probably more, but I can't remember.Also, if you change devices, or switch to a HUE hub, odds are you will have to redo all of your lights.What bothers me more than anything is that the product page for the Echo Plus CLEARLY states compatibility with the HUE system, and even use the HUE APP logo as shown in the picture. That's great, except that you MUST have a HUE BRIDGE to use the app, which is another $50-60 on top of the already expensive investment of the bulbs.CraigI would like to see Amazon clarify that the HUE BRIDGE is necessary for the full HUE system, but I doubt it will happen. Alternatively, I would to see them bundle the Echo Plus and HUE together so that you can get the full system right out of the box.Hope this helps,Craig M","neutral"
"Great Device with Impressive Audio","Short & Sweet - For what it is, this device is amazing. Performance is quick, audio is great, and the built-in Zigbee hub works quite well.Longer Review;After dragging my heels for over a year, I finally bought our first Echo (2nd Generation) back in August. I loved it so much that I got us 2 more for other areas in the house. Being able to group them and play the same music or audio throughout the house is a novelty that won't grow old for me. I've only wished that they had a little more full sound, especially at higher volume. I'd considered the last Echo Plus, but the average of reviews I read didn't make it appear to perform significantly better than our already great 2nd Generation Echos.When I saw this new Echo Plus listed, I pre-ordered it to replace the Heather Grey Echo in our kitchen and move that one to our bedroom. We tend to have music playing in the kitchen more than any other room, and I wanted slightly better sound than the regular Echo in there. I'm honestly glad we took a chance on this device without any reviews to go by.Appearance;As you can see in the photos, it's pretty much identical in height to the 2nd Generation Echo. It is a bit wider to accommodate the larger speakers, and the top is slightly domed instead of being flat. A similar 7-microphone array is on top and they seem to work just as well. There also appears to be a tripod-style connector on the base of the unit.Setup;Setup was surprisingly easy as this Echo Plus detected our network settings on its own. I plugged it in, it did its initial startup, and then told me the device was connected. Simple as that.Audio compared to 2nd Generation Echo;Highs are clearer.Mids are more natural and better-defined.Lows are deeper.Overall volume is noticeably louder and sound quality is improved.When paired with our other Echos, music and audio is in sync everywhere and this device stands out above the others in audio performance.General Performance;We have a quick network and I don't notice any perceivable performance difference between this new Echo Plus and our regular 2nd Generation Echos. Everything seems to work as it should.I bought this with the free Philips Hue bulb promotion. This bulb is our first Zigbee device and works very well with the Echo Plus. It is easily controlled by either the Echo Plus or the other Echos we have in the house. I'll be keeping an eye out for deals on these bulbs in the future. Like our other Echos, it also has no problem controlling our Kasa Smart Plugs.Overall;While $150 is a lot for a single speaker, for what I was looking for, this thing excels. If you like the 2nd Generation Echo but hoped it sounded a bit better, I would highly recommend this. Based on what I've read, if you were disappointed with the audio performance with the 1st Generation Echo Plus but want everything else it had to offer, consider giving this wonderful speaker a try.P.S.: The internal ambient temperature sensor seems fairly accurate and nice to have included.","positive"
"If You Are Undecided .. Dont Be ... BUY THIS ECHO","I jumped on the Echo bandwagon as soon as the original was released a few years ago.  Loved it.  When the Echo Plus with Built in Hub was released in 2017 … Nice.  The hub gave me the luxury of controlling my garage door after buying Nexx Garage.  With these two Echo's - I also purchased the Amazon Voice Remote because the Echos did not have much range for listening around corners and from different rooms.  The Voice Remote was essential, but solved the issue.  I also added an Echo Dot in an obscure corner of the house for better Alexa coverage.When the Echo Plus with ZigBee (2nd Generation) was released in October 2018 … I stressed over whether I should take the plunge and add another.  Would it be that much better?  I DID buy it and I am soooooooo glad about my decision.PROS:  #1 - Pairing accessories with this latest version is easy and intuitive.  Everything works flawlessly.  My previous two Echos had me ranting in frustration when trying to add a smart home device. And most ended up being returned out of failure to pair.  #2 - The internal microphone is so finely tuned - I can call out commands from other rooms and even outside the house (when the windows are open) and Alexa responds perfectly.  #3 - THE SPEAKERS.  Oh the sound is phenomenol !!  Yet - I was going to call Amazon support because there was a rattle sound frequently from the speakers/unit when playing music.  I went next to the unit to record the rattle so I could play it for the tech rep when I called.  It was them that I realized the speakers were so dynamic - they were rattling my fine glassware that was in close proximity to the Echo.  Once the glassware was moved - the speakers are sensational and flawless.  I play Spotify all the time now.  It sounds wonderful on the new Echo !!!This 2nd Generation Echo is worth every penny and then some.  I now have my entire house paired with receptacles, light bulbs, my garage door opener and a Phillips Color Hue bulb.  Pairing and grouping everything was absolutely simple !!!  There is never a glitch in operating the accessories.  AND best of all - I know what I will be buying for family holiday gifts.","positive"
"Satisfying sound when paired, loud volume","I really like the sound on these two speakers combined. I have a Bose, which always outperformed other small sound systems for me, but the Echo 2nd Gen--although individually not quite as good soundwise as Bose--sounds just as good when the two speakers are paired, and along with the subwoofer slightly outperform the Bose. The trebles are clear and the bass isn't overwhelming, but it's a good solid sound and feel. There's a good balance between treble and bass and you can ask Alexa to decrease or increase both. The volume level can also get extremely loud, which I found has been lacking in most speakers this size. The setup can be a little glitchy with the Alexa app, which seems buggy and is not that user friendly when it comes to setting up and pairing, but even I, who is no tech wiz, was able to figure it out and finally pair everything up. I've tried so many  small speakers like this and have always been disappointed, so I'm glad I finally found some that live up to my expectations. Super happy I bought these. I'll definitely be keeping them.","positive"
"Nice sound","Not that the sound of the old 1st Gen Echo was bad, but the 2nd Gen is noticeably better. Deep, richer and perhaps even louder than the old. I did like the old volume control (turning the top of the device) as opposed to buttons (so 1990s), but since I rarely use that function, I can live with it. The only down I can think of is the smart home hub. I don't know what it is, how to use it, whether it can replace the ones I already own, or where to find information about it. I posted a question pre-sale, but never got a response. Maybe no one know, or perhaps it is not ready for prime time.BTW, I traded in the old one for a credit and it was worth the investment just because the sound is superior.","positive"
"CANNOT GET ZIGBEE HUB TO WORK","I Followed directions to get Hue bulb to connect. It came with the Echo and the directions say: To set up your free bulb, plug in and set up your Echo Plus, plug in your bulb, and ask, “Alexa, discover my devices. All I get is no devices found even when turning on skill in the app. I have a hue account set up and logged in. If you try to join the Hue app itself it said no bridge found. I asked Alexa  is Hub turned on and get no answer. I ask to turn Hub on same thing. I went and bought another HUE bulb and it does not work either. I bought this for THE HUB, but it does not seem to work. I'm sending back. On a side note most new home automation devices are WIFI now and do not need a hub. I just wanted to connect my older devices without an external hub.I like the idea, but if I would make one of these I would have made a hub that worked and would have included Z-wave in the hub as well.I'm sending back and ordering the ECHO without the hub. I also ordered a samsung gen 3 HUB to go with it and all will be good.I do think the ECHO with the better speaker design is a great Alexa device. I love Alexa and everything the dot and Echo do, I just think the Built it hub didn't work out for them so well.ADDITIONAL INFO: We even tried to connect our front door lock that was Zigbee and it would not connect in pairing mode. Tried several times and no luck. I think the HUB on the device I bought must be defective.I have been working with home automation since the first generation and are very familiar with programming. We also set up out own alarm system and camera system with automation and garage door control.","negative"
"Great new Amazon Alexa Echo","Wow, this Echo sounds great and the voice is so natural.  I bought a Dot at the same time for upstairs and it works great as well.  I plan on ordering 2 more Dot’s and I’m looking at buying a couple thermostats to take advantage of the built in hub for smart devices.","neutral"
"Value for money amazing product","I’m amazed with the speaker quality, improved bass and more louder. Loved it","positive"
"Extremely limited compared to Google Home stereo pairing","I was quite excited that Amazon had caught up to Sonos and Google and finally allowed stereo pairing of speakers. It’s amazing how much better two properly spaced speakers can sound, even without a sub. Unfortunately, Amazon decided to release this product without full feature parity of it’s competitors.As other reviews have mentioned, the stereo configuration ONLY works when streaming music from an online service. If you’re internet is out, or you want to take the speakers somewhere where no internet is available, you can only play from a single speaker at a time. That means local connection methods, like bluetooth and the 3.5mm aux in don’t play on a stereo pair (like they do with Google Home).I am really hoping this is a software kink that is quickly being worked out, and if support is added I’ll update this review. For now, I’m quite disappointed that I purchased a stereo pair of speakers and sub when half the time I only hear sound out of ONE of the three devices.Do yourself a favor and get a Google Home, Sonos, or if you don’t mind wires and want Alexa, get a Klipsch ProMedia 2.1 with an Echo Dot— much better stereo sound, lower price, and more functionality.","negative"
"Works great","Sounds great","positive"
